from_id,to_id,fromid_toid,route_number,at,from_x,from_y,to_x,to_y,total_route_time,route_time,route_distance,route_total_lines
5861326,5865000,5861326_5865000,1,08:34:00,24.9704379,60.3119173,24.7130407,60.3032452,96,83,23981.1,2
5861326,5865001,5861326_5865001,1,08:34:00,24.9704379,60.3119173,24.7175607,60.3033229,93,79,23731.8,2
5861326,5865002,5861326_5865002,1,08:34:00,24.9704379,60.3119173,24.7220807,60.3034005,91,78,23618.2,2
5861326,5865003,5861326_5865003,1,08:34:00,24.9704379,60.3119173,24.7266007,60.3034779,87,74,23335.3,2
5861326,5865004,5861326_5865004,1,08:34:00,24.9704379,60.3119173,24.7311207,60.3035552,71,56,21602.1,2
5861326,5865005,5861326_5865005,1,08:34:00,24.9704379,60.3119173,24.7356407,60.3036323,68,54,21958.1,2
5861326,5865006,5861326_5865006,1,08:34:00,24.9704379,60.3119173,24.7401608,60.3037093,67,53,21372.8,2
5861326,5865007,5861326_5865007,1,08:34:00,24.9704379,60.3119173,24.7446809,60.3037861,70,56,21576.3,2
5861326,5865008,5861326_5865008,1,08:41:00,24.9704379,60.3119173,24.749201,60.3038627,74,57,20412.5,3
5861326,5865009,5861326_5865009,1,08:41:00,24.9704379,60.3119173,24.7537212,60.3039392,78,58,20005.8,3
5861326,5865010,5861326_5865010,1,08:41:00,24.9704379,60.3119173,24.7582413,60.3040156,82,59,20090,3
5861326,5865011,5861326_5865011,1,08:41:00,24.9704379,60.3119173,24.7627615,60.3040918,86,62,19858.8,3
5861326,5865012,5861326_5865012,1,08:41:00,24.9704379,60.3119173,24.7672818,60.3041678,86,62,19875,3
5861326,5865013,5861326_5865013,1,08:41:00,24.9704379,60.3119173,24.771802,60.3042437,89,65,20074.5,3
5861326,5865014,5861326_5865014,1,08:41:00,24.9704379,60.3119173,24.7763223,60.3043195,93,68,20321.3,3
5861326,5865015,5861326_5865015,1,08:34:00,24.9704379,60.3119173,24.7808426,60.304395,108,92,17485.2,2
5861326,5865016,5861326_5865016,1,08:10:00,24.9704379,60.3119173,24.7853629,60.3044705,96,84,17300.7,2
5861326,5865017,5861326_5865017,1,08:10:00,24.9704379,60.3119173,24.7898832,60.3045457,93,80,17057.8,2
5861326,5865018,5861326_5865018,1,08:10:00,24.9704379,60.3119173,24.7944036,60.3046209,88,75,16680.2,2
